reviewer,comment_id,issue,risk_level,code_owner_agent,required_artifact,output_path,test_path,manuscript_section,proposed_response,status,needs_author_input
Reviewer 1,R1.3,"Data description lacks sampling methods, temporal resolution, sample size, and observed versus imputed proportions.",high,data-engineer; data-validation-auditor,"Data inventory, data dictionary, station coverage, mixed-date repair audit, preprocessing footprint.",outputs/tables/data_inventory.csv; outputs/tables/station_date_coverage.csv; outputs/tables/mixed_date_encoding_audit.csv; outputs/tables/preprocessing_footprint.csv,tests/test_ingest.py; tests/test_preprocessing.py,"2.2, 2.4, Results data description","We added reproducible source-file inventory, station/date coverage, and a mixed Excel-serial date repair audit for local files; sampling/laboratory method claims remain author-confirmed unless raw metadata are supplied.",partial_generated_needs_author_input_for_methods_and_full_history,"Historical 1989–2024 records, 385-event table, sampling methods, and analytical-procedure metadata if they are not in raw_data."
Reviewer 1,R1.4,"Preprocessing influence from interpolation, gap filling, smoothing, and outlier handling is unclear.",high,imputation-specialist,"Preprocessing footprint, observed/imputed flags, and no-smoothing 2024 imputation validation figure.",data/processed/daily_chl_a.csv; outputs/tables/preprocessing_footprint.csv; data/processed/realistic_imputed_chl_a_2024.csv; outputs/tables/realistic_imputation_diagnostics.csv; figures/realistic_imputation_validation.png,tests/test_preprocessing.py,"2.4.1, 2.4.2, Results reviewer diagnostics","Each modeled daily value now carries observed, interpolated, imputed, outlier, and smoothing flags; proportions are reported by station. A separate 2024 observed-preserving, no-smoothing imputation validation artifact is generated before any forecast rerun.",generated_from_local_data,Confirm whether manuscript HPBR was based on satellite-derived daily observations or in-situ observations.
Reviewer 1,R1.6,Possible 7-day forecast temporal shift must be assessed explicitly.,high,forecast-diagnostics-specialist,"Lagged cross-correlation, peak-date error, event-onset error.",outputs/tables/lag_diagnostics_d7.csv; outputs/tables/lag_correlation_by_model_d7.csv,tests/test_diagnostics.py,Results forecast diagnostics; Discussion,"We computed ±14-day lagged correlations, peak-date error, and event-onset error for the cached TimesFM and Chronos Large rolling-origin predictions.",generated_from_foundation_predictions,None for local 2022–2025 forecast diagnostics; full historical claims still require the complete historical table.
Reviewer 1,R1.7,Threshold exceedance analysis is descriptive rather than quantitative.,high,forecast-diagnostics-specialist; limnology-domain-scientist,"Confusion matrices, POD, TNR, precision, F1, false alarm and missed-event rates.",outputs/tables/threshold_warning_metrics.csv; outputs/tables/threshold_warning_metrics_all_targets.csv; outputs/tables/threshold_event_inventory.csv; outputs/tables/threshold_event_summary.csv,tests/test_diagnostics.py,Results threshold warning; Discussion management relevance,"We generated observed-target and all-target binary-warning metrics for cached TimesFM and Chronos Large predictions, including confusion-matrix counts and POD/TNR/precision/F1/false-alarm/miss-rate fields.",generated_from_foundation_predictions,Confirm final management threshold wording and whether additional non-Chl-a thresholds should be included.
Reviewer 3,R3.2,Remote-sensing inversion algorithms and validation metrics are absent.,critical,remote-sensing-specialist,Satellite matchup validation table and inversion formulas/model documentation.,outputs/tables/satellite_matchup_validation.csv; reports/needs_author_input.md,Not testable until satellite matchup input is provided.,2.3 Satellite Data; Abstract/title claims,The current repository lacks satellite matchup inputs; we explicitly mark this as requiring author input and recommend claim reduction until validated.,needs_author_input,"Provide reflectance/index matchup table, inversion model forms, splits, and validation outputs."
Reviewer 3,R3.3,Title/abstract may overstate satellite and ML integration if forecasts ingest only univariate Chl-a.,critical,transformer-timeseries-engineer; manuscript-response-editor,Model input contract and satellite-feature integration evidence or claim-reduction wording.,reports/needs_author_input.md; outputs/tables/satellite_matchup_validation.csv,tests/test_forecasting.py for reproducible local input contracts.,"Title, Abstract, 2.4, 2.5","Unless satellite-derived predictors are supplied and ingested, revise wording to state that satellite products support Chl-a estimation/data construction, not direct multivariate forecasting architecture input.",claim_reduction_required_unless_inputs_provided,Provide multivariate satellite-feature forecast experiment or approve title/abstract reduction.
Reviewer 3,R3.4,Model theory section is too long and application analysis should be strengthened.,medium,manuscript-response-editor; forecast-diagnostics-specialist,Diagnostics outputs and proposed manuscript condensation.,outputs/tables/lag_diagnostics_d7.csv; outputs/tables/threshold_warning_metrics.csv; outputs/tables/uncertainty_coverage.csv; outputs/tables/cross_site_validation.csv,tests/test_diagnostics.py; tests/test_forecasting.py,"2.5, Results, Discussion","Condense textbook equations and replace space with code-backed application diagnostics now generated for TimesFM and Chronos Large: horizon metrics, lag, warning metrics, uncertainty coverage, and observed/gap-stratified scoring.",foundation_diagnostics_generated_wording_pending,Author approval for moving model derivations to supplement or deleting them.
Reviewer 3,R3.5,Models may learn imputation logic rather than ecological dynamics.,critical,imputation-specialist; transformer-timeseries-engineer,"Observed/imputed flags, preprocessing footprint, observed-only scoring plan.",data/processed/daily_chl_a.csv; outputs/tables/preprocessing_footprint.csv; data/processed/realistic_imputed_chl_a_2024.csv; outputs/tables/realistic_imputation_diagnostics.csv; outputs/tables/observed_only_forecast_metrics.csv; outputs/tables/gap_stratified_forecast_metrics.csv,tests/test_preprocessing.py; tests/test_forecasting.py,"2.4.1, Model evaluation, Discussion limitations",We expose imputation flags and generated observed-only plus gap-stratified scoring tables for cached TimesFM and Chronos Large predictions.,generated_from_foundation_predictions,Confirm whether manuscript HPBR/imputation description should be revised to match the code-derived masks.
Reviewer 3,R3.7,Uncertainty sources and predictive intervals are not evaluated.,high,forecast-diagnostics-specialist; limnology-domain-scientist,Interval coverage table and uncertainty-source limitation text.,outputs/tables/uncertainty_coverage.csv; outputs/tables/forecast_predictions_with_intervals.csv,tests/test_diagnostics.py,Results uncertainty; Discussion limitations,The pipeline evaluates cached TimesFM/Chronos q10/q50/q90 interval coverage and no longer fabricates uncertainty bounds in strict manuscript mode.,generated_from_foundation_quantiles,Chronos Large was run with 16 samples on MPS for tractability; disclose this runtime setting if reporting Chronos quantile coverage.
Reviewer 3,R3.8,Cross-site validation is missing.,high,forecast-ml-engineer; transformer-timeseries-engineer,Pucón→La Poza and La Poza→Pucón metrics.,outputs/tables/cross_site_validation.csv,tests/test_forecasting.py,Model evaluation; Results generalization,A reproducible local transfer baseline is generated for context; manuscript foundation-model transfer requires cached/executable TimesFM/Chronos predictions.,local_baseline_generated_foundation_transfer_pending,Provide final model execution path or cached predictions for cross-site foundation-model validation.
Reviewer 3,R3.9,Figure 2 is unreadable.,medium,visualization-engineer,Professional preprocessing workflow figure with source table and rendered manuscript exports.,outputs/tables/figure_02_preprocessing_workflow_source.csv; figures/figure_02_preprocessing_workflow.svg; figures/figure_02_preprocessing_workflow.png,Python figure render via npm run render:figure02 or scripts/recreate_figures.py,Figure 2,"We rebuilt Figure 2 as a version-controlled, source-table-backed workflow diagram and rendered it to readable vector/raster manuscript exports.",generated,None unless journal has specific figure dimensions.
Reviewer 3,R3.10,A complete methodology flowchart is missing.,medium,visualization-engineer,End-to-end methodology flowchart.,figures/figure_methodology_end_to_end.png,Figure smoke test through scripts/recreate_figures.py,Methods overview figure,"We added an end-to-end flowchart from raw acquisition through preprocessing, forecasting, diagnostics, and manuscript outputs.",generated,None unless final satellite ingestion details change.
